,areacode,sex,code,icd,by,type,rate,order,age
1,500000,合计,62,ALL,合计,incidence,13.26,0,0
2,500000,合计,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,0
3,500000,合计,102,C11,鼻咽,incidence,0,2,0
4,500000,合计,103,C15,食管,incidence,0,3,0
5,500000,合计,104,C16,胃,incidence,0,4,0
6,500000,合计,105,C18-C21,结直肠肛门,incidence,0,5,0
7,500000,合计,106,C22,肝脏,incidence,0.81,6,0
8,500000,合计,107,C23-C24,胆囊及其他,incidence,0,7,0
9,500000,合计,108,C25,胰腺,incidence,0,8,0
10,500000,合计,109,"C10.1,C32",喉,incidence,0,9,0
11,500000,合计,110,C33-C34,气管、支气管、肺,incidence,0,10,0
12,500000,合计,111,C40-C41,骨,incidence,0.54,11,0
13,500000,合计,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.27,17,0
14,500000,合计,118,C67,膀胱,incidence,0.27,18,0
15,500000,合计,119,C70-C72,脑及中枢神经系统,incidence,1.35,19,0
16,500000,合计,120,C73,甲状腺,incidence,0,20,0
17,500000,合计,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0.81,21,0
18,500000,合计,122,C91-C95,白血病,incidence,3.52,22,0
19,500000,男性,62,ALL,合计,incidence,14.98,0,0
20,500000,男性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,0
21,500000,男性,102,C11,鼻咽,incidence,0,2,0
22,500000,男性,103,C15,食管,incidence,0,3,0
23,500000,男性,104,C16,胃,incidence,0,4,0
24,500000,男性,105,C18-C21,结直肠肛门,incidence,0,5,0
25,500000,男性,106,C22,肝脏,incidence,1.55,6,0
26,500000,男性,107,C23-C24,胆囊及其他,incidence,0,7,0
27,500000,男性,108,C25,胰腺,incidence,0,8,0
28,500000,男性,109,"C10.1,C32",喉,incidence,0,9,0
29,500000,男性,110,C33-C34,气管、支气管、肺,incidence,0,10,0
30,500000,男性,111,C40-C41,骨,incidence,1.03,11,0
31,500000,男性,116,C61,前列腺,incidence,0,16,0
32,500000,男性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.52,17,0
33,500000,男性,118,C67,膀胱,incidence,0.52,18,0
34,500000,男性,119,C70-C72,脑及中枢神经系统,incidence,2.07,19,0
35,500000,男性,120,C73,甲状腺,incidence,0,20,0
36,500000,男性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,1.55,21,0
37,500000,男性,122,C91-C95,白血病,incidence,2.07,22,0
38,500000,女性,62,ALL,合计,incidence,11.36,0,0
39,500000,女性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,0
40,500000,女性,102,C11,鼻咽,incidence,0,2,0
41,500000,女性,103,C15,食管,incidence,0,3,0
42,500000,女性,104,C16,胃,incidence,0,4,0
43,500000,女性,105,C18-C21,结直肠肛门,incidence,0,5,0
44,500000,女性,106,C22,肝脏,incidence,0,6,0
45,500000,女性,107,C23-C24,胆囊及其他,incidence,0,7,0
46,500000,女性,108,C25,胰腺,incidence,0,8,0
47,500000,女性,109,"C10.1,C32",喉,incidence,0,9,0
48,500000,女性,110,C33-C34,气管、支气管、肺,incidence,0,10,0
49,500000,女性,111,C40-C41,骨,incidence,0,11,0
50,500000,女性,112,C50,乳房,incidence,0,12,0
51,500000,女性,113,C53,子宫颈,incidence,0,13,0
52,500000,女性,114,C54,子宫体,incidence,0,14,0
53,500000,女性,115,C56,卵巢,incidence,0,15,0
54,500000,女性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0,17,0
55,500000,女性,118,C67,膀胱,incidence,0,18,0
56,500000,女性,119,C70-C72,脑及中枢神经系统,incidence,0.57,19,0
57,500000,女性,120,C73,甲状腺,incidence,0,20,0
58,500000,女性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0,21,0
59,500000,女性,122,C91-C95,白血病,incidence,5.11,22,0
60,510000,合计,62,ALL,合计,incidence,14.84,0,0
61,510000,合计,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,0
62,510000,合计,102,C11,鼻咽,incidence,0,2,0
63,510000,合计,103,C15,食管,incidence,0,3,0
64,510000,合计,104,C16,胃,incidence,0,4,0
65,510000,合计,105,C18-C21,结直肠肛门,incidence,0,5,0
66,510000,合计,106,C22,肝脏,incidence,0.99,6,0
67,510000,合计,107,C23-C24,胆囊及其他,incidence,0,7,0
68,510000,合计,108,C25,胰腺,incidence,0,8,0
69,510000,合计,109,"C10.1,C32",喉,incidence,0,9,0
70,510000,合计,110,C33-C34,气管、支气管、肺,incidence,0,10,0
71,510000,合计,111,C40-C41,骨,incidence,0,11,0
72,510000,合计,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0,17,0
73,510000,合计,118,C67,膀胱,incidence,0,18,0
74,510000,合计,119,C70-C72,脑及中枢神经系统,incidence,0.99,19,0
