,areacode,name,sex,code,icd,by,rate,constitute,type
1,500000,全省,合计,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,1.49,0.92,mortality
2,500000,全省,合计,102,C11,鼻咽,0.58,0.36,mortality
3,500000,全省,合计,103,C15,食管,22.35,13.78,mortality
4,500000,全省,合计,104,C16,胃,25.26,15.57,mortality
5,500000,全省,合计,105,C18-C21,结直肠肛门,9.41,5.8,mortality
6,500000,全省,合计,106,C22,肝脏,22.07,13.61,mortality
7,500000,全省,合计,107,C23-C24,胆囊及其他,2.99,1.84,mortality
8,500000,全省,合计,108,C25,胰腺,3.61,2.22,mortality
9,500000,全省,合计,109,"C10.1,C32",喉,0.79,0.49,mortality
10,500000,全省,合计,110,C33-C34,气管、支气管、肺,40.31,24.86,mortality
11,500000,全省,合计,111,C40-C41,骨,1.16,0.72,mortality
12,500000,全省,合计,112,C50,乳房,10.58,3.18,mortality
13,500000,全省,合计,113,C53,子宫颈,6.11,1.83,mortality
14,500000,全省,合计,114,C54,子宫体,2.41,0.72,mortality
15,500000,全省,合计,115,C56,卵巢,3.06,0.92,mortality
16,500000,全省,合计,116,C61,前列腺,2.71,0.86,mortality
17,500000,全省,合计,117,"C64-C66,C68",肾及泌尿系统不明,1.39,0.85,mortality
18,500000,全省,合计,118,C67,膀胱,1.72,1.06,mortality
19,500000,全省,合计,119,C70-C72,脑及中枢神经系统,4.02,2.48,mortality
20,500000,全省,合计,120,C73,甲状腺,0.69,0.42,mortality
21,500000,全省,合计,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,2.06,1.27,mortality
22,500000,全省,合计,122,C91-C95,白血病,2.92,1.8,mortality
23,500000,全省,男性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,1.84,0.95,mortality
24,500000,全省,男性,102,C11,鼻咽,0.74,0.38,mortality
25,500000,全省,男性,103,C15,食管,27.68,14.25,mortality
26,500000,全省,男性,104,C16,胃,34.68,17.86,mortality
27,500000,全省,男性,105,C18-C21,结直肠肛门,9.91,5.11,mortality
28,500000,全省,男性,106,C22,肝脏,29.78,15.33,mortality
29,500000,全省,男性,107,C23-C24,胆囊及其他,2.59,1.33,mortality
30,500000,全省,男性,108,C25,胰腺,3.96,2.04,mortality
31,500000,全省,男性,109,"C10.1,C32",喉,1.29,0.66,mortality
32,500000,全省,男性,110,C33-C34,气管、支气管、肺,55.07,28.36,mortality
33,500000,全省,男性,111,C40-C41,骨,1.38,0.71,mortality
34,500000,全省,男性,112,C50,乳房,0.29,0.15,mortality
35,500000,全省,男性,113,C53,子宫颈,0,0,mortality
36,500000,全省,男性,114,C54,子宫体,0,0,mortality
37,500000,全省,男性,115,C56,卵巢,0,0,mortality
38,500000,全省,男性,116,C61,前列腺,2.71,1.39,mortality
39,500000,全省,男性,117,"C64-C66,C68",肾及泌尿系统不明,1.71,0.88,mortality
