year,country,continent,gdp
1984,澳大利亚,大洋洲,1.93594E+11
2019,巴西,美洲,1.87782E+12
2018,巴西,美洲,1.91693E+12
2017,巴西,美洲,2.06351E+12
2016,巴西,美洲,1.79569E+12
2015,巴西,美洲,1.80221E+12
2014,巴西,美洲,2.45604E+12
2013,巴西,美洲,2.47282E+12
2012,巴西,美洲,2.46523E+12
2011,巴西,美洲,2.61616E+12
2010,巴西,美洲,2.20884E+12
2009,巴西,美洲,1.667E+12
2008,巴西,美洲,1.69586E+12
2007,巴西,美洲,1.39711E+12
2006,巴西,美洲,1.10763E+12
2000,巴西,美洲,6.55448E+11
1998,巴西,美洲,8.63711E+11
1997,巴西,美洲,8.83206E+11
1996,巴西,美洲,8.50426E+11
1995,巴西,美洲,7.69333E+11
1991,巴西,美洲,6.0286E+11
1990,巴西,美洲,3.90726E+11
1987,巴西,美洲,2.83057E+11
1986,巴西,美洲,2.56481E+11
1985,巴西,美洲,2.1088E+11
1983,巴西,美洲,1.89657E+11
1982,巴西,美洲,2.71314E+11
1981,巴西,美洲,2.58015E+11
1980,巴西,美洲,2.37393E+11
2020,德国,欧洲,3.84641E+12
2019,德国,欧洲,3.88833E+12
2018,德国,欧洲,3.97729E+12
2017,德国,欧洲,3.69085E+12
2016,德国,欧洲,3.46985E+12
2015,德国,欧洲,3.35759E+12
2014,德国,欧洲,3.88909E+12
2013,德国,欧洲,3.7338E+12
2012,德国,欧洲,3.52714E+12
2011,德国,欧洲,3.74931E+12
2010,德国,欧洲,3.39967E+12
2009,德国,欧洲,3.41126E+12
2008,德国,欧洲,3.74526E+12
2007,德国,欧洲,3.42558E+12
2006,德国,欧洲,2.9947E+12
2005,德国,欧洲,2.84686E+12
2004,德国,欧洲,2.81435E+12
2003,德国,欧洲,2.50164E+12
2002,德国,欧洲,2.07848E+12
2001,德国,欧洲,1.94579E+12
2000,德国,欧洲,1.94798E+12
1999,德国,欧洲,2.19495E+12
1998,德国,欧洲,2.23899E+12
1997,德国,欧洲,2.21199E+12
1996,德国,欧洲,2.49724E+12
1995,德国,欧洲,2.58579E+12
1994,德国,欧洲,2.20507E+12
1993,德国,欧洲,2.07132E+12
1992,德国,欧洲,2.13157E+12
1991,德国,欧洲,1.86895E+12
1990,德国,欧洲,1.77167E+12
1989,德国,欧洲,1.39897E+12
1988,德国,欧洲,1.40123E+12
1987,德国,欧洲,1.29818E+12
1986,德国,欧洲,1.04626E+12
1985,德国,欧洲,7.32535E+11
1984,德国,欧洲,7.25111E+11
1983,德国,欧洲,7.70684E+11
1982,德国,欧洲,7.76576E+11
1981,德国,欧洲,8.00472E+11
1980,德国,欧洲,9.50291E+11
2014,俄罗斯,欧洲,2.05924E+12
2013,俄罗斯,欧洲,2.29247E+12
2012,俄罗斯,欧洲,2.2083E+12
2011,俄罗斯,欧洲,2.04593E+12
2008,俄罗斯,欧洲,1.66085E+12
1992,俄罗斯,欧洲,4.60291E+11
1991,俄罗斯,欧洲,5.17963E+11
1990,俄罗斯,欧洲,5.16814E+11
1989,俄罗斯,欧洲,5.065E+11
1988,俄罗斯,欧洲,5.54713E+11
2020,法国,欧洲,2.63032E+12
2019,法国,欧洲,2.72887E+12
2018,法国,欧洲,2.79096E+12
2017,法国,欧洲,2.59515E+12
2016,法国,欧洲,2.47296E+12
2015,法国,欧洲,2.43919E+12
2014,法国,欧洲,2.85596E+12
2013,法国,欧洲,2.81188E+12
2012,法国,欧洲,2.68367E+12
2011,法国,欧洲,2.86516E+12
2010,法国,欧洲,2.64519E+12
2009,法国,欧洲,2.70089E+12
2008,法国,欧洲,2.9303E+12
2007,法国,欧洲,2.66059E+12
2006,法国,欧洲,2.32054E+12
2005,法国,欧洲,2.19695E+12
2004,法国,欧洲,2.11963E+12
2003,法国,欧洲,1.84454E+12
2002,法国,欧洲,1.50141E+12
2001,法国,欧洲,1.37766E+12
2000,法国,欧洲,1.36564E+12
1999,法国,欧洲,1.49315E+12
1998,法国,欧洲,1.50311E+12
1997,法国,欧洲,1.45288E+12
1996,法国,欧洲,1.60568E+12
1995,法国,欧洲,1.60109E+12
1994,法国,欧洲,1.39398E+12
1993,法国,欧洲,1.32282E+12
1992,法国,欧洲,1.40147E+12
1991,法国,欧洲,1.26928E+12
1990,法国,欧洲,1.26918E+12
1989,法国,欧洲,1.02521E+12
1988,法国,欧洲,1.01885E+12
1987,法国,欧洲,9.34173E+11
1986,法国,欧洲,7.71471E+11
1985,法国,欧洲,5.53138E+11
1984,法国,欧洲,5.30684E+11
1983,法国,欧洲,5.59869E+11
