year,sex,r0,r1,r5,r10,r15,r20,r25,r30,r35,r40,r45,r50,r55,r60,r65,r70,r75,r80,r85
2009,男性,5992,22345,25843,26164,43929,54912,58033,47602,54539,50224,40894,40855,29236,18125,13376,10564,6242,2369,577
2009,女性,5857,22146,24908,25507,48444,47977,52270,46133,48743,44852,39429,39600,28104,18908,14984,11186,6425,3363,1408
2010,男性,6583,39619,42627,39820,45037,54131,34227,34382,42964,47668,38828,28353,32932,24141,16239,11913,8333,4241,1970
2010,女性,5484,30619,32323,31418,40701,56864,36506,34890,42224,48566,40392,28425,32685,23329,16139,12245,9821,5835,3879
2011,男性,5798,33931,40512,38334,47433,49693,33125,34833,47700,50181,42654,33943,33498,22853,15307,12274,8428,4032,1694
2011,女性,4983,29613,34439,33614,43799,51384,34154,35228,45182,47480,40500,32253,32249,22456,15207,12998,9966,5459,3507
2012,男性,5823,34075,40684,38496,47634,49904,33265,34981,47902,50394,42835,34087,33640,22950,15372,12326,8464,4049,1701
2012,女性,5018,29822,34682,33851,44108,51747,34395,35477,45501,47815,40786,32481,32477,22615,15314,13090,10036,5498,3532
2013,男性,6088,22704,26258,26584,44635,55795,58966,48368,55416,51033,41552,41512,29706,18417,13591,10733,6343,2407,859
2013,女性,5951,22502,25308,25917,49224,48749,53111,46875,49527,45573,40063,40238,28556,19212,15224,11366,6528,3417,1157
2014,男性,6225,23217,26851,27186,45642,57055,60297,49460,56666,52185,42489,42450,30377,18833,13898,10975,6485,2461,879
2014,女性,6028,22794,25637,26254,49864,49381,53800,47483,50169,46165,40584,40760,28928,19462,15422,11515,6614,3462,1173
2015,男性,5543,22160,26142,21822,32456,36005,54962,51412,66033,59610,46307,44533,31136,21713,18831,16279,8977,3219,650
2015,女性,5155,21619,24700,21384,35221,39121,49634,48149,62449,54327,42890,42549,34087,25745,22187,15676,7887,3663,1153
2016,男性,6042,23967,27399,23373,34335,37790,58018,53643,68580,62484,49960,47565,33018,23814,20299,17545,9712,3690,863
2016,女性,5622,23463,26009,23021,37148,40952,53159,50813,65454,57570,46404,45691,36163,28171,24200,16989,8694,4176,1493
2017,男性,10023,38731,44108,38671,43846,43698,63319,64045,69075,69808,71326,67558,47486,40165,32030,24687,18240,10938,5720
2017,女性,9261,36439,41141,36576,43067,45166,64977,71016,73629,70361,68127,62621,48133,42484,35830,27376,20263,11940,6796
